# Time	MagPro_XP	MagPro_XP_fit
2.191999999999977116e-04	-5.762996199100922645e-01	-5.940744398607115118e-01
2.192999999999977140e-04	-5.749948213190911872e-01	-5.928432467157550567e-01
2.193999999999977164e-04	-5.736900227280901099e-01	-5.916103426598173787e-01
2.194999999999977189e-04	-5.724436848466527561e-01	-5.903757316246057707e-01
2.195999999999976942e-04	-5.712807463955371645e-01	-5.891394175467193906e-01
2.196999999999976966e-04	-5.701178079444212399e-01	-5.879014043676362711e-01
2.197999999999976990e-04	-5.689548694933054263e-01	-5.866616960337038833e-01
2.198999999999977015e-04	-5.677919310421895016e-01	-5.854202964961228162e-01
2.199999999999977039e-04	-5.667202416632285411e-01	-5.841772097109366735e-01
2.200999999999977063e-04	-5.657517242320655448e-01	-5.829324396390194174e-01
2.201999999999977088e-04	-5.647832068009026596e-01	-5.816859902460609355e-01
2.202999999999977112e-04	-5.638146893697396633e-01	-5.804378655025568268e-01
2.203999999999977136e-04	-5.628461719385767781e-01	-5.791880693837939686e-01
2.204999999999976890e-04	-5.617255912181341460e-01	-5.779366058698388597e-01
2.205999999999976914e-04	-5.604682997480494588e-01	-5.766834789455249632e-01
2.206999999999976938e-04	-5.592110082779648828e-01	-5.754286926004394953e-01
2.207999999999976962e-04	-5.579537168078801956e-01	-5.741722508289111016e-01
2.208999999999976987e-04	-5.566964253377956195e-01	-5.729141576299976446e-01
2.209999999999977011e-04	-5.553088593457283784e-01	-5.716544170074736586e-01
2.210999999999977035e-04	-5.538284252038961908e-01	-5.703930329698146950e-01
2.211999999999976789e-04	-5.523479910620644473e-01	-5.691300095301904394e-01
2.212999999999976813e-04	-5.508675569202322597e-01	-5.678653507064450601e-01
2.213999999999976837e-04	-5.493871227784000721e-01	-5.665990605210911024e-01
2.214999999999976862e-04	-5.479058686430389180e-01	-5.653311430012912808e-01
2.215999999999976886e-04	-5.464241553367179538e-01	-5.640616021788491530e-01
2.216999999999976910e-04	-5.449424420303971006e-01	-5.627904420901952420e-01
2.217999999999976934e-04	-5.434607287240761364e-01	-5.615176667763749352e-01
2.218999999999976959e-04	-5.419790154177552832e-01	-5.602432802830326075e-01
2.219999999999976983e-04	-5.407868991210535992e-01	-5.589672866604035173e-01
2.220999999999976736e-04	-5.397199085911312810e-01	-5.576896899632985960e-01
