Electrode,-81.4,-17.3,-38.9,T9h
Electrode,-82.9,-17.5,3.3,T7h
Electrode,-77.6,-19.2,46.5,C5h
Electrode,-51.7,-21.1,80.6,C3h
Electrode,-15.8,-23.1,97.9,C1h
Electrode,22.3,-23.1,96.1,C2h
Electrode,58,-21.9,76.2,C4h
Electrode,81,-20.7,39.7,C6h
Electrode,84.7,-19,-3.4,T8h
Electrode,80.9,-17.5,-47.3,T10h
Electrode,-87.9,-45.6,-42.6,TP9h
Electrode,-81.2,-48.5,-0.2,TP7h
Electrode,-76,-54.9,41.5,CP5h
Electrode,-52,-59.3,76.5,CP3h
Electrode,-15.6,-61.2,93.1,CP1h
Electrode,22.9,-61.3,91.5,CP2h
Electrode,57.1,-59.8,71.1,CP4h
Electrode,77.3,-55.3,34.6,CP6h
Electrode,81.5,-49.3,-6.7,TP8h
Electrode,83.2,-49.6,-49.9,TP10h
Electrode,-69.2,-70.8,-42.1,P9h
Electrode,-70.8,-77.7,-4.7,P7h
Electrode,-63.5,-85.5,28.4,P5h
Electrode,-42.5,-92.1,55.1,P3h
Electrode,-12.7,-93.3,68.2,P1h
Electrode,18.9,-93,67.1,P2h
Electrode,46.6,-91,51,P4h
Electrode,64,-85,22.9,P6h
Electrode,70.1,-78.1,-10.3,P8h
Electrode,67.6,-72.8,-48.1,P10h
Electrode,-51.8,-94.2,-41.4,PO9h
Electrode,-52.1,-100.8,-10.3,PO7h
Electrode,-44.4,-106.6,8.8,PO5h
Electrode,-29.1,-111.5,22.5,PO3h
Electrode,-9.4,-113.3,29.8,PO1h
Electrode,11.1,-113.2,28.3,PO2h
Electrode,30.1,-111.2,19.7,PO4h
Electrode,44.4,-106.3,4.9,PO6h
Electrode,51,-100.8,-14.5,PO8h
Electrode,50,-95.7,-45.5,PO10h
Electrode,-15.3,-117.6,-15.2,O1h
Electrode,14.4,-117.2,-16.4,O2h
Electrode,-15.6,-109.8,-57.2,I1h
Electrode,13,-109.9,-58.8,I2h
Electrode,-36,72.3,-44.5,AFp9
Electrode,-41.1,73.9,-3.5,AFp7
Electrode,-32.7,78.2,6,AFp5
Electrode,-22.3,81.8,14.3,AFp3
Electrode,-11.5,82.4,23.3,AFp1
Electrode,1.1,82.4,26.5,AFpz
Electrode,14.7,82.3,23.5,AFp2
Electrode,25.4,81.8,14,AFp4
Electrode,34.5,78.5,3.5,AFp6
